127.0.0.1 - - [15/Jun/2016:13:23:36 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Jun/2016:13:23:37 +0800] "GET /HelloWorld/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [15/Jun/2016:13:25:03 +0800] "GET /HelloWorld/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [15/Jun/2016:13:25:03 +0800] "GET /favicon.ico HTTP/1.1" 404 973
10.222.29.160 - - [15/Jun/2016:13:26:30 +0800] "GET /HelloWorld/ HTTP/1.1" 200 57
10.222.29.160 - - [15/Jun/2016:13:26:30 +0800] "GET /favicon.ico HTTP/1.1" 404 973
10.222.29.156 - - [15/Jun/2016:13:27:33 +0800] "GET /HelloWorld/ HTTP/1.1" 200 57
10.222.29.156 - - [15/Jun/2016:13:27:33 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Jun/2016:13:31:09 +0800] "GET /HelloWorld/ HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [15/Jun/2016:13:31:16 +0800] "GET /HelloWorld/ HTTP/1.1" 200 55
10.222.29.156 - - [15/Jun/2016:13:31:33 +0800] "GET /HelloWorld/ HTTP/1.1" 200 55
10.222.29.163 - - [15/Jun/2016:13:32:08 +0800] "GET /HelloWorld/ HTTP/1.1" 200 55
10.222.29.163 - - [15/Jun/2016:13:32:08 +0800] "GET /favicon.ico HTTP/1.1" 404 973
